,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0,3021,2719.0,3475.0,2706.0,2291.0,483.0,246.0,3023.0,3141.0,3010.0,4029.0,2801.0,2444.0,3336.0,3768.0,424.0,3922.0,512.0,4045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,67,66.0,626.0,3237.0,4095.0,3336.0,2442.0,3867.0,223.0,2794.0,2084.0,40.0,3842.0,3503.0,52.0,47.0,242.0,3992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,271,36.0,1985.0,11.0,100.0,3848.0,181.0,73.0,491.0,23.0,176.0,184.0,83.0,302.0,3419.0,4019.0,2171.0,237.0,3834.0,4032.0,4302.0,4131.0,218.0,240.0,154.0,517.0,107.0,29.0,432.0,2725.0,2140.0,139.0,85.0,3988.0,2156.0,249.0,153.0,3952.0,2068.0,51.0,4310.0,3603.0,67.0,33.0,4157.0,82.0,515.0,10.0,68.0,3407.0,31.0,21.0,3853.0,162.0,175.0,4223.0,404.0,3984.0,66.0,3911.0,3867.0,421.0,4086.0,110.0,2007.0,2174.0,3963.0,122.0,354.0,272.0,2049.0,2719.0,28.0,4038.0,90.0,3919.0,3907.0,3406.0,166.0,4222.0,451.0,3601.0,444.0,497.0,3815.0,127.0,228.0,4277.0,214.0,4003.0,3917.0,4234.0,165.0,472.0,2782.0,1227.0,3767.0,170.0,3817.0,1.0,3323.0,211.0,74.0,521.0,501.0,1978.0,236.0,3950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986,209.0,4112.0,2174.0,1214.0,2799.0,3496.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2352,2271.0,624.0,2489.0,1435.0,2763.0,2254.0,2594.0,578.0,2754.0,2531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,165,3416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2295,188.0,2916.0,2141.0,2499.0,1982.0,2636.0,4228.0,2299.0,3453.0,3832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,177,2343.0,95.0,436.0,161.0,9.0,73.0,100.0,2144.0,356.0,694.0,4164.0,581.0,2906.0,227.0,414.0,206.0,430.0,3883.0,348.0,497.0,3950.0,56.0,3851.0,2870.0,512.0,4087.0,555.0,2010.0,2575.0,3910.0,2098.0,3923.0,87.0,499.0,3809.0,2186.0,440.0,446.0,3959.0,1313.0,1973.0,444.0,623.0,2481.0,1548.0,404.0,186.0,4071.0,2002.0,4130.0,2749.0,422.0,2929.0,1022.0,2783.0,578.0,3409.0,2231.0,4214.0,2132.0,108.0,3693.0,2448.0,3870.0,594.0,3375.0,488.0,163.0,96.0,3080.0,3823.0,3130.0,2009.0,1547.0,28.0,480.0,83.0,927.0,3842.0,2203.0,244.0,150.0,57.0,3878.0,90.0,2514.0,3894.0,387.0,3871.0,3407.0,62.0,3193.0,2670.0,2595.0,3705.0,449.0,2094.0,3911.0,3947.0,2881.0,4234.0,392.0,241.0,1522.0,2007.0,2340.0,231.0,3934.0,419.0,2741.0,223.0,2782.0,3865.0,185.0,74.0,236.0,424.0,32.0,2718.0,119.0,2404.0,688.0,4013.0,68.0,3830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,312,2140.0,1976.0,8.0,3953.0,382.0,3574.0,2292.0,2032.0,2299.0,521.0,2340.0,989.0,639.0,1626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
