,0
0,1195139980860903424
1,1179556940726206464
2,1204745479969366016
3,912403562
4,44866344
5,1110436928233472000
6,1196424447575638016
7,784433897597579264
8,3251082536
9,976386180055932928
10,1178577666426851328
11,1197929215699628032
12,1195317874291666944
13,1075193938401624064
14,1366912344
15,1084320514976305152
16,1091891461426036736
17,1178488962135932928
18,1105063382795931648
19,2645170038
20,1198467681856319488
21,894109632246841344
22,1196389498277519360
23,1201258305814839296
24,1491790398
25,1185548084719357952
26,796866542189195264
27,1203938695604105216
28,2951396306
29,791586183096610816
30,2334709171
31,475513700
32,479298582
33,1203559365497638912
34,912403562
35,1368330362
36,97466515
37,1190386867054637056
38,1196922600259088384
39,726317884239020032
40,3251082536
41,700527935233495040
42,1196974212293902336
43,1094620386929438720
44,732407697195204608
45,1011828484119846912
46,2590658359
47,282587070
48,1063768803543146496
49,2316280740
50,968014755037245440
51,984406319179247616
52,1206780003221819392
53,798725922094362624
54,1176885593629790208
55,1178315624226811904
56,922843978960998400
57,1098840547073118208
58,1050408286028087296
59,634454085
60,1123112143124140032
61,852134767856410624
62,1193718944370085888
63,1202826195991060480
64,3046580558
65,1106741456755027968
66,1200385680469192704
67,1183188395503144960
68,1175708089930043392
69,1162391339121594368
70,1151360257685258240
71,1204792181535363072
72,1170307112632606720
73,95777277
74,182724473
75,1201862664160305152
76,1042655581788495872
77,1196385322776637440
78,1148071643522064384
79,1109372218046185472
80,1189122205931704320
81,1109747039208800256
82,1241431076
83,966363026919059456
84,1196388927931846656
85,122880907
86,130057552
87,1187581839600279552
88,1214550114
89,987088894356148224
90,1204341889249529856
91,1143719291105116160
92,876738959350444032
93,1111605224005746688
94,838313517723734016
95,1117612123813580800
96,134776591
97,3878808194
98,286041545
99,3129854430
100,913919804033064960
101,1172556504169234432
102,1120401222769491968
103,1205138745684455424
104,1197920786587238400
105,274421191
106,714065489752764416
107,2951396306
108,1204959796874502144
109,1193143645186060288
110,978392988022800384
111,887114970562830336
112,1089938539368849408
113,518144693
114,1138362382122594304
