,ID0,Tweet
0,,_kaori 具体的にどんな責任を追及するのかがさっぱりわからない。そんな曖昧なことで首相のクビは取れないと思うけどなあ。野党の皆さんも支持者から「徹底的に『やるやる』詐欺だ」って突き上げられていませんか？ 
1,, クマを殺すなと咆哮する輩、そんなにクマが好きなら、私の居住してる地に春、ヒグマが冬眠から覚めて地先山にいるのでヒグマと会話してくれ、「人間の居住地に来ないでくれ」とクマの生態と生態系のバランスぐらい学習すれ、クマは食事の場所を知ると何度も訪
2,, 昔の賢人は言った。韓国は放っておいても自滅するからいい、中国は漢字発祥の地で手ごわい気を付けろ、一番手ごわいのは、敵陣に入りて仲間を背後から打つ国賊（反日勢力）  さんから
3,, 此奴、石破は総理になる器ではない。仲間内を背後から打つ卑怯者でしかない。【石破氏】石破政権、いつでも担う準備はできている  ネット「肝心の自民党支持者と自民党員と自民党議員の支持が殆ど無い」「どこぞの「ノーベル賞受賞者の像を置くための台座」
4,, 【子供を陥れるＮＨＫ】高校生「クローズアップ現代に出演したら悪人に仕立て上げられ本当に傷ついた。僕には何もできないので、どういうやり方でどう切り取るのかせめて知ってほしい」 
5,, 【田村秀男の日曜経済講座】移民受け入れの盲点　中国資本に呑み込まれる  _newsさんから
6,,【田村秀男の日曜経済講座】移民受け入れの盲点　中国資本に呑み込まれる  _newsさんから
7,,【子供を陥れるＮＨＫ】高校生「クローズアップ現代に出演したら悪人に仕立て上げられ本当に傷ついた。僕には何もできないので、どういうやり方でどう切り取るのかせめて知ってほしい」 
8,,【北海道 表現の自由と不自由展2019】小野寺まさる氏「東條英機元首相写真を燃やすという死者を冒涜する代物で、まだ生きている保守側に近い方々の写真も次々に焼く有様」 – 政治知新 
9,, 世界史を鑑みても、実効支配された北方領土の返還は出来ない。今迄政府は外交交渉でロシアに給餌しただけ。領土奪還できるとすれば・ロシア崩壊し、北方領土への主権が消滅した時・憲法改正し、自衛隊実力で奪還他に方法は、無いのであれば諦め、良い
10,,: ニューヨークで『日本の朝鮮学校差別』を糾弾･･･日本公館に抗議書簡～ネットの反応「米国に朝鮮学校ってあるの？だったらまずはそこで米国政府を批判する教育をして、米国政府に教育資金を拠出させてみてからにしたら？ww」 https://t.co/k1…
11,,: 伊藤氏は訴訟を起こし、自ら社会に晒したら、SNSで賛否両論の意見が拡散されるの当然で、そのリスクを知らず、反対意見にはセカンドレイプと咆哮するのは「虫が良すぎる」身勝手である。彼女の面の厚さはユーラシア大陸プレートより厚い。https://…
12,,: 伊藤氏よ、男と女が密室で酔っていて、挑発的な服装した発情期の雌がいれば、殆どの男は雄ライオンになる。ならないとすれば、不能者か、お迎えの近い男性だ。そんなことも分からないで、ホテルの個室に入った「初心な乙女」でもなかろう。https://t…
13,,: 弱者を盾に取り、いかにも博愛主義で、主義主張するのは共産党と同じ、左巻きの常套手段、信用してはならない一旦権力を掌握すると、自分と異とする人に対して徹底的に排除する。歴史の痕跡をみよ、血の匂いしかしない。 https://t.co/3r8…
14,,: 政府、外務省よ、気を緩めず、韓国のこうありたいと思う願望のロビー活動が活発化するぞ、慰安婦問題と同じような「二の足を踏んではならない」「日本海」単独表記、国際水路機関（ＩＨＯ）が現状維持案 https://t.co/7gLZUmdBHr…
15,,: 甘い言葉で民衆を誘導し、背くものは排除する。共産党結党以来の世界史と現実の世界を鑑みると、共産党の痕跡には血の匂いしかしない。中国「すがすがしいネット空間をつくり出す」→ ネットで習近平思想や共産党の方針に沿わないと処罰の対象 https:…
16,,: 政党を解党して、芸能界デビューでもした方が良いのでは、【共闘合意】国民民主と共産が党首会談、マスコミの前でピアノ演奏を披露 https://t.co/OiJkd8UgaC @sharenewsjapan1さんから
17,,: 「お墓に眠ってなんかいない」という歌詞でお彼岸のお参りが激減したのではないと思う。「千の風になって」はすばしい歌だ戦後教育、物質文明などにより、ご先祖様を敬う心が薄れてきた為ではなかろうか、ご先祖様あってのわが身、世界中、どの宗派もご先祖さ…
18,,: @shoetsusato 私も、どうせ無駄だと思います😒「友好の家」=「ムネオハウス」を全力でぶっ潰して、ロシア人国会議員を激ギレさせたのは日本人でした😒日露戦争で戦勝して、クリルを勝ち取った太平洋戦争で敗戦して､そのどさくさ紛…
19,,: ご参考までに数年前、私の自宅から約１．５Kmの所で捕獲されたヒグマで、体重約150Kg雄です。ヒグマは空腹時、子熊子育て時、猛獣となります。クマを愛する方、このヒグマさんと会話してください。私には出来ません。 https://t.co/M…
20,,Mikaduki_16404: @masakingnaka @shoetsusato 自然の中に居る人ほど、自然の怖さを知ってる。
21,,: 数年前、私の自宅から約１．５Kmの所で捕獲されたヒグマで、体重約150Kg雄です。ヒグマは空腹時、子熊子育て時、猛獣となります。クマを愛する方、このヒグマさんと会話してください。私には出来ません。 https://t.co/u4oDe9CL…
22,,: ＜台湾がアツイ！台湾の皆さん、ありがとう！絶対また遊びに来る！＞　台湾の蔡英文・総統『200万人もの日本人が台湾に来てくれました！このビデオを見てください』〜ネットの反応「あ、私が泊まったホテルが舞台になってる！😄」「そうだ、台湾🇹🇼にいこう」…
